M31
obs date:  2020 01 01 UTC
freq    V_LSR(km/s)
[[ 1410.          2176.41921964]
 [ 1411.          1965.35807898]
 [ 1412.          1754.29693833]
 [ 1413.          1543.23579767]
 [ 1414.          1332.17465702]
 [ 1415.          1121.11351636]
 [ 1416.           910.0523757 ]
 [ 1417.           698.99123505]
 [ 1418.           487.93009439]
 [ 1419.           276.86895374]
 [ 1420.            65.80781308]
 [ 1421.          -145.25332757]
 [ 1422.          -356.31446823]
 [ 1423.          -567.37560889]
 [ 1424.          -778.43674954]
 [ 1425.          -989.4978902 ]
 [ 1426.         -1200.55903085]
 [ 1427.         -1411.62017151]
 [ 1428.         -1622.68131216]
 [ 1429.         -1833.74245282]
 [ 1430.         -2044.80359348]
 [ 1431.         -2255.86473413]
 [ 1432.         -2466.92587479]
 [ 1433.         -2677.98701544]
 [ 1434.         -2889.0481561 ]
 [ 1435.         -3100.10929675]
 [ 1436.         -3311.17043741]
 [ 1437.         -3522.23157807]
 [ 1438.         -3733.29271872]
 [ 1439.         -3944.35385938]]
