name,a0,a1,a2,a3
J0133-3629,1.044,-0.6619,-0.2252,0.0
3C48,1.3253,-0.7553,-0.1914,0.0498
FornaxA,2.2175,-0.6606,0.0,0.0
3C123,1.8017,-0.7884,-0.1035,-0.0248
J0444-2809,0.971,-0.8938,-0.1176,0.0
3C138,1.0088,-0.4981,-0.1552,-0.0102
PictorA,1.938,-0.747,-0.0739,0.0
TaurusA,2.9516,-0.2173,-0.0473,-0.0674
3C147,1.4516,-0.6961,-0.2007,0.064
3C196,1.2872,-0.853,-0.1534,-0.02
HydraA,1.7795,-0.9176,-0.0843,-0.0139
VirgoA,2.4466,-0.8116,-0.0483,0.0
3C286,1.2481,-0.4507,-0.1798,0.0357
3C295,1.4701,-0.7658,-0.278,-0.0347
HerculesA,1.8298,-1.0247,-0.0951,0.0
3C353,1.8627,-0.6938,-0.0998,-0.0732
3C380,1.232,-0.7909,0.0947,0.0976
CygnusA,3.3498,-1.0022,-0.2246,0.0227
3C444,1.1064,-1.0052,-0.075,0.0767
CassiopeiaA,3.3584,-0.7518,-0.0347,-0.0705
